subclass,modality,sexrep,ncell,nreads,ratio
020 L2/3 IT RSP Glut,H3K9me3,FemaleB,24,68757,2864.875
027 L6b EPd Glut,H3K27me3,FemaleA,24,49258,2052.4167
088 BST Tac2 Gaba,H3K27me3,MaleB,24,120482,5020.0835
109 LGv-ZI Otx2 Gaba,H3K27ac,MaleA,25,52148,2085.92
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K27me3,MaleA,25,118362,4734.48
032 L5 NP CTX Glut,H3K4me1,MaleA,25,79544,3181.76
121 MEA-BST Otp Zic2 Glut,H3K27me3,FemaleB,25,193898,7755.92
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K9me3,MaleA,25,204474,8178.96
077 CEA-BST Gal Avp Gaba,H3K27me3,FemaleB,25,192198,7687.92
096 PVHd Gsc Gaba,H3K27ac,MaleB,26,71840,2763.077
151 TH Prkcd Grin2c Glut,H3K27ac,FemaleA,26,168295,6472.885
213 SCsg Gabrr2 Gaba,H3K27ac,MaleA,26,70179,2699.1924
118 ADP-MPO Trp73 Glut,H3K27me3,FemaleB,26,51415,1977.5
065 IA Mgp Gaba,H3K27me3,MaleA,26,153856,5917.5386
088 BST Tac2 Gaba,H3K27ac,MaleA,26,70483,2710.8845
166 MRN Pou3f1 C1ql4 Glut,H3K4me1,FemaleA,26,95094,3657.4614
032 L5 NP CTX Glut,H3K9me3,FemaleB,26,100657,3871.423
121 MEA-BST Otp Zic2 Glut,H3K4me1,FemaleB,26,129977,4999.115
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,H3K27me3,FemaleB,26,98208,3777.2307
213 SCsg Gabrr2 Gaba,H3K9me3,MaleA,26,188422,7247.0
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K27me3,MaleB,26,113044,4347.846
001 CLA-EPd-CTX Car3 Glut,H3K4me1,FemaleB,26,132067,5079.5
137 PH-an Pitx2 Glut,H3K4me1,FemaleA,26,48534,1866.6923
141 PH-SUM Foxa1 Glut,H3K27me3,MaleA,27,114765,4250.5557
096 PVHd Gsc Gaba,H3K4me1,FemaleB,27,143792,5325.6294
032 L5 NP CTX Glut,H3K27ac,FemaleB,27,175668,6506.222
013 COAp Grxcr2 Glut,H3K27me3,FemaleB,27,210268,7787.7036
166 MRN Pou3f1 C1ql4 Glut,H3K9me3,FemaleA,27,117314,4344.963
137 PH-an Pitx2 Glut,H3K27me3,MaleA,27,110009,4074.4075
141 PH-SUM Foxa1 Glut,H3K27ac,MaleA,27,53281,1973.3704
065 IA Mgp Gaba,H3K27me3,FemaleB,27,187929,6960.3335
109 LGv-ZI Otx2 Gaba,H3K27me3,MaleA,27,112572,4169.3335
032 L5 NP CTX Glut,H3K4me1,MaleB,27,60005,2222.4075
141 PH-SUM Foxa1 Glut,H3K4me1,FemaleB,28,152806,5457.357
213 SCsg Gabrr2 Gaba,H3K9me3,MaleB,28,77215,2757.6785
092 TMv-PMv Tbx3 Hist-Gaba,H3K9me3,MaleB,28,225371,8048.9644
027 L6b EPd Glut,H3K27me3,MaleA,28,168449,6016.0356
075 MEA-BST Lhx6 Nr2e1 Gaba,H3K27ac,FemaleB,28,114445,4087.3215
096 PVHd Gsc Gaba,H3K27me3,FemaleA,28,122874,4388.357
036 HPF CR Glut,H3K9me3,MaleA,28,113119,4039.9644
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K9me3,FemaleB,28,122874,4388.357
136 PMv-TMv Pitx2 Glut,H3K4me1,MaleA,28,192682,6881.5
002 IT EP-CLA Glut,H3K27ac,FemaleB,28,85054,3037.6428
088 BST Tac2 Gaba,H3K9me3,FemaleB,28,126572,4520.4287
141 PH-SUM Foxa1 Glut,H3K27me3,FemaleB,28,74767,2670.25
268 CS-PRNr-DR En1 Sox2 Gaba,H3K4me1,FemaleB,28,124341,4440.75
088 BST Tac2 Gaba,H3K27me3,FemaleA,28,97980,3499.2856
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K4me1,FemaleA,29,71303,2458.724
149 PVT-PT Ntrk1 Glut,H3K9me3,FemaleB,29,134562,4640.069
034 NP PPP Glut,H3K4me1,MaleA,29,125811,4338.3105
141 PH-SUM Foxa1 Glut,H3K9me3,FemaleB,29,158639,5470.3105
137 PH-an Pitx2 Glut,H3K27ac,MaleA,29,48967,1688.5172
001 CLA-EPd-CTX Car3 Glut,H3K9me3,MaleB,29,220486,7602.9653
027 L6b EPd Glut,H3K27me3,MaleB,29,177723,6128.3794
124 MPN-MPO-PVpo Hmx2 Glut,H3K27ac,FemaleA,29,171005,5896.724
001 CLA-EPd-CTX Car3 Glut,H3K9me3,FemaleB,29,276069,9519.621
122 LHA-MEA Otp Glut,H3K4me1,FemaleB,29,144049,4967.207
041 OB-in Frmd7 Gaba,H3K4me1,FemaleB,29,133530,4604.483
118 ADP-MPO Trp73 Glut,H3K27ac,MaleB,29,103052,3553.5173
268 CS-PRNr-DR En1 Sox2 Gaba,H3K4me1,FemaleA,30,139535,4651.1665
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,H3K27me3,FemaleB,30,64124,2137.4666
013 COAp Grxcr2 Glut,H3K27ac,MaleA,30,97474,3249.1333
027 L6b EPd Glut,H3K4me1,FemaleA,30,170900,5696.6665
268 CS-PRNr-DR En1 Sox2 Gaba,H3K27me3,FemaleA,30,111740,3724.6667
268 CS-PRNr-DR En1 Sox2 Gaba,H3K9me3,FemaleA,30,104108,3470.2666
091 ARH-PVi Six6 Dopa-Gaba,H3K27me3,MaleA,30,112767,3758.9
130 LHA Pmch Glut,H3K27ac,MaleB,30,91904,3063.4666
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K9me3,FemaleA,30,112152,3738.4
036 HPF CR Glut,H3K27ac,FemaleB,30,50117,1670.5667
149 PVT-PT Ntrk1 Glut,H3K27me3,MaleB,30,132020,4400.6665
130 LHA Pmch Glut,H3K27ac,FemaleA,31,212762,6863.2905
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K4me1,FemaleA,31,143165,4618.2256
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K9me3,FemaleA,31,96814,3123.0322
151 TH Prkcd Grin2c Glut,H3K27me3,FemaleB,31,83366,2689.2258
121 MEA-BST Otp Zic2 Glut,H3K4me1,MaleB,31,221817,7155.387
124 MPN-MPO-PVpo Hmx2 Glut,H3K27me3,FemaleB,32,60188,1880.875
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K27me3,FemaleA,32,107140,3348.125
151 TH Prkcd Grin2c Glut,H3K9me3,MaleA,32,219681,6865.0312
268 CS-PRNr-DR En1 Sox2 Gaba,H3K9me3,FemaleB,32,251758,7867.4375
096 PVHd Gsc Gaba,H3K9me3,FemaleA,32,86607,2706.4688
015 ENTmv-PA-COAp Glut,H3K27ac,FemaleB,32,97278,3039.9375
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K27ac,MaleB,33,102047,3092.3333
103 PVHd-DMH Lhx6 Gaba,H3K27ac,FemaleB,33,102456,3104.7273
077 CEA-BST Gal Avp Gaba,H3K9me3,FemaleB,33,171727,5203.8486
027 L6b EPd Glut,H3K9me3,MaleA,33,209333,6343.4243
118 ADP-MPO Trp73 Glut,H3K27ac,FemaleA,33,225209,6824.515
151 TH Prkcd Grin2c Glut,H3K9me3,FemaleA,33,92122,2791.5757
121 MEA-BST Otp Zic2 Glut,H3K9me3,MaleA,33,212630,6443.3335
213 SCsg Gabrr2 Gaba,H3K27me3,MaleA,33,135262,4098.8486
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K4me1,FemaleA,33,92905,2815.303
100 AHN Onecut3 Gaba,H3K27ac,FemaleB,33,96484,2923.7576
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K27ac,MaleB,33,71700,2172.7273
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K27ac,FemaleA,33,115934,3513.1516
149 PVT-PT Ntrk1 Glut,H3K4me1,FemaleB,33,210133,6367.6665
081 ACB-BST-FS D1 Gaba,H3K27ac,FemaleB,33,126526,3834.121
001 CLA-EPd-CTX Car3 Glut,H3K4me1,MaleB,33,297071,9002.151
124 MPN-MPO-PVpo Hmx2 Glut,H3K27me3,MaleB,33,129828,3934.182
051 Pvalb chandelier Gaba,H3K27ac,FemaleB,34,108622,3194.7646
096 PVHd Gsc Gaba,H3K9me3,FemaleB,34,146239,4301.147
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K9me3,FemaleB,34,259244,7624.8237
091 ARH-PVi Six6 Dopa-Gaba,H3K4me1,MaleB,34,103561,3045.9119
216 MB-MY Tph2 Glut-Sero,H3K27me3,FemaleB,34,187558,5516.4116
136 PMv-TMv Pitx2 Glut,H3K4me1,FemaleB,34,229534,6751.0
196 PAG-PPN Pax5 Sox21 Gaba,H3K27ac,FemaleB,35,172697,4934.2
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K27ac,FemaleA,35,87373,2496.3713
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K9me3,MaleB,35,322408,9211.657
029 L6b CTX Glut,H3K4me1,MaleA,35,187091,5345.457
118 ADP-MPO Trp73 Glut,H3K9me3,MaleA,35,337376,9639.314
089 PVR Six3 Sox3 Gaba,H3K9me3,MaleA,35,278533,7958.086
029 L6b CTX Glut,H3K4me1,MaleB,35,177367,5067.6284
149 PVT-PT Ntrk1 Glut,H3K27ac,MaleA,35,69711,1991.7428
065 IA Mgp Gaba,H3K27me3,FemaleA,35,89489,2556.8286
092 TMv-PMv Tbx3 Hist-Gaba,H3K4me1,MaleB,35,135093,3859.8
125 DMH Hmx2 Glut,H3K9me3,MaleA,35,290835,8309.571
029 L6b CTX Glut,H3K4me1,FemaleB,36,175476,4874.3335
065 IA Mgp Gaba,H3K9me3,FemaleA,36,142835,3967.639
092 TMv-PMv Tbx3 Hist-Gaba,H3K4me1,FemaleA,36,76007,2111.3057
093 RT-ZI Gnb3 Gaba,H3K27ac,FemaleB,36,91267,2535.1943
029 L6b CTX Glut,H3K9me3,FemaleB,36,193557,5376.5835
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K27me3,MaleB,36,103467,2874.0833
036 HPF CR Glut,H3K4me1,MaleA,36,141122,3920.0557
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K4me1,FemaleA,36,106649,2962.4722
141 PH-SUM Foxa1 Glut,H3K9me3,MaleB,37,274650,7422.973
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K9me3,FemaleB,37,212586,5745.5674
088 BST Tac2 Gaba,H3K4me1,FemaleA,37,72887,1969.919
041 OB-in Frmd7 Gaba,H3K27ac,MaleA,37,51094,1380.919
055 STR Lhx8 Gaba,H3K27ac,FemaleB,37,124864,3374.7026
134 PH-ant-LHA Otp Bsx Glut,H3K27ac,FemaleB,37,119988,3242.919
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K4me1,FemaleA,38,266496,7013.0527
136 PMv-TMv Pitx2 Glut,H3K9me3,FemaleB,38,163765,4309.6055
137 PH-an Pitx2 Glut,H3K9me3,MaleB,38,218258,5743.6313
066 NDB-SI-ant Prdm12 Gaba,H3K27ac,MaleB,38,92467,2433.342
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K4me1,MaleB,38,201910,5313.421
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K27me3,FemaleA,38,63182,1662.6842
076 MEA-BST Lhx6 Nfib Gaba,H3K27ac,FemaleB,38,107729,2834.9736
136 PMv-TMv Pitx2 Glut,H3K27ac,MaleA,38,89104,2344.842
041 OB-in Frmd7 Gaba,H3K27me3,MaleB,38,128659,3385.7632
075 MEA-BST Lhx6 Nr2e1 Gaba,H3K27ac,MaleB,38,77980,2052.1052
034 NP PPP Glut,H3K4me1,MaleB,38,295171,7767.6577
034 NP PPP Glut,H3K27me3,FemaleB,39,123760,3173.3333
100 AHN Onecut3 Gaba,H3K9me3,MaleA,39,303664,7786.2563
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K4me1,MaleA,39,236854,6073.1797
151 TH Prkcd Grin2c Glut,H3K27ac,MaleB,39,117136,3003.487
119 SI-MA-LPO-LHA Skor1 Glut,H3K27ac,FemaleB,39,129934,3331.641
149 PVT-PT Ntrk1 Glut,H3K4me1,MaleA,39,176563,4527.2563
088 BST Tac2 Gaba,H3K27me3,MaleA,39,163225,4185.2563
034 NP PPP Glut,H3K4me1,FemaleB,39,172672,4427.4873
091 ARH-PVi Six6 Dopa-Gaba,H3K9me3,MaleB,40,227557,5688.925
141 PH-SUM Foxa1 Glut,H3K4me1,MaleB,40,130566,3264.15
116 AVPV-MEPO-SFO Tbr1 Glut,H3K27me3,FemaleB,40,80464,2011.6
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K4me1,FemaleB,40,235134,5878.35
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K27me3,MaleA,40,135013,3375.325
057 NDB-SI-MA-STRv Lhx8 Gaba,H3K27ac,FemaleB,40,170898,4272.45
124 MPN-MPO-PVpo Hmx2 Glut,H3K9me3,FemaleA,41,102657,2503.8293
085 SI-MPO-LPO Lhx8 Gaba,H3K27ac,FemaleB,41,119425,2912.805
136 PMv-TMv Pitx2 Glut,H3K27me3,FemaleA,41,229050,5586.5854
102 DMH-LHA Gsx1 Gaba,H3K27ac,FemaleB,41,88928,2168.9756
123 DMH Nkx2-4 Glut,H3K27ac,FemaleA,41,179707,4383.0977
124 MPN-MPO-PVpo Hmx2 Glut,H3K4me1,FemaleB,42,185116,4407.524
027 L6b EPd Glut,H3K9me3,MaleB,42,258354,6151.2856
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K9me3,MaleB,42,120568,2870.6667
151 TH Prkcd Grin2c Glut,H3K27me3,FemaleA,42,271294,6459.381
136 PMv-TMv Pitx2 Glut,H3K27me3,MaleA,42,211495,5035.595
124 MPN-MPO-PVpo Hmx2 Glut,H3K9me3,FemaleB,42,143207,3409.6904
010 IT AON-TT-DP Glut,H3K27ac,FemaleB,42,261544,6227.2383
125 DMH Hmx2 Glut,H3K27ac,MaleB,42,109735,2612.738
200 PAG-ND-PCG Onecut1 Gaba,H3K27ac,FemaleB,42,120687,2873.5
065 IA Mgp Gaba,H3K4me1,FemaleA,43,169156,3933.8604
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K27ac,FemaleA,43,186040,4326.5117
149 PVT-PT Ntrk1 Glut,H3K9me3,MaleB,43,315615,7339.884
151 TH Prkcd Grin2c Glut,H3K9me3,FemaleB,43,211049,4908.116
013 COAp Grxcr2 Glut,H3K9me3,FemaleA,43,159936,3719.442
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K27ac,MaleA,43,115037,2675.279
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K4me1,FemaleB,43,265580,6176.2793
029 L6b CTX Glut,H3K27me3,FemaleB,43,472487,10988.069
013 COAp Grxcr2 Glut,H3K27me3,MaleA,43,265295,6169.6514
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,H3K9me3,FemaleA,44,148815,3382.1592
013 COAp Grxcr2 Glut,H3K27me3,MaleB,44,269792,6131.636
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K27me3,FemaleA,44,186809,4245.659
196 PAG-PPN Pax5 Sox21 Gaba,H3K27me3,FemaleB,44,304727,6925.614
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K27me3,MaleA,44,239013,5432.114
090 BST-MPN Six3 Nrgn Gaba,H3K27ac,FemaleB,44,136152,3094.3635
088 BST Tac2 Gaba,H3K4me1,MaleB,44,150835,3428.068
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K4me1,MaleB,44,259447,5896.523
121 MEA-BST Otp Zic2 Glut,H3K9me3,MaleB,45,243407,5409.0444
122 LHA-MEA Otp Glut,H3K27me3,FemaleB,45,334764,7439.2
122 LHA-MEA Otp Glut,H3K27ac,MaleA,45,108827,2418.3777
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K9me3,MaleB,45,264958,5887.9556
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K4me1,MaleA,45,257372,5719.378
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,H3K27ac,FemaleA,45,223919,4975.9775
130 LHA Pmch Glut,H3K4me1,FemaleB,45,338410,7520.222
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K9me3,MaleB,45,209036,4645.2446
268 CS-PRNr-DR En1 Sox2 Gaba,H3K27me3,MaleB,45,129888,2886.4
020 L2/3 IT RSP Glut,H3K4me1,FemaleB,46,204731,4450.674
066 NDB-SI-ant Prdm12 Gaba,H3K27me3,FemaleB,46,189126,4111.4346
013 COAp Grxcr2 Glut,H3K27me3,FemaleA,46,93914,2041.6086
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K4me1,MaleB,46,289805,6300.109
121 MEA-BST Otp Zic2 Glut,H3K9me3,FemaleA,46,151540,3294.348
196 PAG-PPN Pax5 Sox21 Gaba,H3K9me3,FemaleA,46,157210,3417.6086
122 LHA-MEA Otp Glut,H3K9me3,FemaleB,47,198463,4222.617
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K9me3,FemaleA,47,224572,4778.1274
001 CLA-EPd-CTX Car3 Glut,H3K27me3,FemaleB,47,205116,4364.1704
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K27ac,MaleB,47,137753,2930.9148
034 NP PPP Glut,H3K27ac,MaleB,47,93024,1979.234
151 TH Prkcd Grin2c Glut,H3K4me1,FemaleB,47,290468,6180.1704
141 PH-SUM Foxa1 Glut,H3K4me1,FemaleA,47,99804,2123.4893
122 LHA-MEA Otp Glut,H3K27me3,MaleA,47,207038,4405.064
065 IA Mgp Gaba,H3K27ac,FemaleA,48,104824,2183.8333
029 L6b CTX Glut,H3K9me3,MaleA,48,208529,4344.354
124 MPN-MPO-PVpo Hmx2 Glut,H3K4me1,MaleA,48,216464,4509.6665
097 PVHd-SBPV Six3 Prox1 Gaba,H3K9me3,MaleA,48,402578,8387.042
213 SCsg Gabrr2 Gaba,H3K27me3,MaleB,48,208531,4344.396
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K9me3,MaleB,48,257015,5354.479
127 DMH-LHA Vgll2 Glut,H3K27ac,FemaleB,48,128340,2673.75
130 LHA Pmch Glut,H3K27me3,FemaleA,48,327886,6830.9585
041 OB-in Frmd7 Gaba,H3K4me1,FemaleA,48,136994,2854.0417
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K27me3,MaleB,49,128921,2631.0408
065 IA Mgp Gaba,H3K9me3,MaleA,49,244664,4993.143
149 PVT-PT Ntrk1 Glut,H3K4me1,FemaleA,49,105026,2143.3877
029 L6b CTX Glut,H3K4me1,FemaleA,49,178225,3637.2449
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K27ac,FemaleA,49,82812,1690.0408
141 PH-SUM Foxa1 Glut,H3K27me3,FemaleA,49,188182,3840.449
036 HPF CR Glut,H3K27ac,FemaleA,49,191834,3914.9795
149 PVT-PT Ntrk1 Glut,H3K27me3,MaleA,50,216309,4326.18
268 CS-PRNr-DR En1 Sox2 Gaba,H3K27ac,MaleB,50,171517,3430.34
125 DMH Hmx2 Glut,H3K27ac,FemaleA,50,289212,5784.24
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K27me3,FemaleA,50,219095,4381.9
121 MEA-BST Otp Zic2 Glut,H3K27me3,FemaleA,50,116217,2324.34
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K4me1,MaleB,50,213817,4276.34
097 PVHd-SBPV Six3 Prox1 Gaba,H3K27ac,FemaleB,50,114140,2282.8
077 CEA-BST Gal Avp Gaba,H3K4me1,FemaleA,50,196718,3934.36
103 PVHd-DMH Lhx6 Gaba,H3K27ac,FemaleA,51,298711,5857.0786
077 CEA-BST Gal Avp Gaba,H3K27ac,MaleA,51,134710,2641.3726
149 PVT-PT Ntrk1 Glut,H3K4me1,MaleB,51,211247,4142.098
096 PVHd Gsc Gaba,H3K4me1,MaleA,51,295821,5800.4116
128 VMH Fezf1 Glut,H3K9me3,MaleA,52,562360,10814.615
136 PMv-TMv Pitx2 Glut,H3K4me1,MaleB,52,194241,3735.4038
124 MPN-MPO-PVpo Hmx2 Glut,H3K27me3,FemaleA,52,238972,4595.615
077 CEA-BST Gal Avp Gaba,H3K4me1,MaleA,52,288718,5552.269
029 L6b CTX Glut,H3K9me3,MaleB,52,305015,5865.673
026 NLOT Rho Glut,H3K4me1,MaleA,52,348992,6711.385
130 LHA Pmch Glut,H3K9me3,FemaleB,53,353822,6675.8867
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K4me1,MaleA,53,301309,5685.0757
130 LHA Pmch Glut,H3K4me1,MaleA,53,328542,6198.906
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K9me3,FemaleB,53,235902,4450.981
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K27me3,FemaleA,53,288950,5451.8867
123 DMH Nkx2-4 Glut,H3K9me3,FemaleA,54,126724,2346.7407
032 L5 NP CTX Glut,H3K4me1,FemaleB,54,259066,4797.5186
089 PVR Six3 Sox3 Gaba,H3K27ac,MaleB,54,117014,2166.926
118 ADP-MPO Trp73 Glut,H3K9me3,FemaleA,54,165236,3059.926
130 LHA Pmch Glut,H3K27me3,MaleB,54,330906,6127.8887
123 DMH Nkx2-4 Glut,H3K27me3,FemaleB,54,98143,1817.463
130 LHA Pmch Glut,H3K9me3,FemaleA,54,226191,4188.722
213 SCsg Gabrr2 Gaba,H3K4me1,MaleB,54,301824,5589.3335
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K9me3,MaleA,54,241084,4464.5186
074 MEA-BST Lhx6 Sp9 Gaba,H3K27ac,FemaleB,54,210776,3903.2593
137 PH-an Pitx2 Glut,H3K4me1,MaleB,54,157599,2918.5
034 NP PPP Glut,H3K9me3,MaleA,55,313461,5699.291
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K27me3,MaleB,55,239598,4356.327
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,H3K9me3,MaleA,55,599725,10904.091
123 DMH Nkx2-4 Glut,H3K27me3,MaleB,55,180951,3290.018
123 DMH Nkx2-4 Glut,H3K4me1,FemaleB,55,252445,4589.909
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K27ac,MaleA,55,137317,2496.6726
041 OB-in Frmd7 Gaba,H3K4me1,MaleB,55,201231,3658.7454
268 CS-PRNr-DR En1 Sox2 Gaba,H3K4me1,MaleB,55,286329,5205.982
122 LHA-MEA Otp Glut,H3K27me3,MaleB,55,241413,4389.327
066 NDB-SI-ant Prdm12 Gaba,H3K27me3,MaleB,56,267287,4772.982
056 Sst Chodl Gaba,H3K27ac,FemaleB,56,210448,3758.0
151 TH Prkcd Grin2c Glut,H3K27me3,MaleB,56,398229,7111.232
096 PVHd Gsc Gaba,H3K27me3,MaleB,56,225360,4024.2856
117 LHA Barhl2 Glut,H3K27ac,FemaleB,56,206272,3683.4285
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K9me3,MaleA,56,365782,6531.8213
268 CS-PRNr-DR En1 Sox2 Gaba,H3K9me3,MaleA,57,429884,7541.8247
026 NLOT Rho Glut,H3K27ac,FemaleB,57,362176,6353.965
099 SBPV-PVa Six6 Satb2 Gaba,H3K9me3,MaleA,57,434071,7615.281
118 ADP-MPO Trp73 Glut,H3K27me3,FemaleA,57,234566,4115.193
102 DMH-LHA Gsx1 Gaba,H3K9me3,MaleA,57,534978,9385.579
152 RE-Xi Nox4 Glut,H3K27ac,FemaleB,57,248421,4358.263
027 L6b EPd Glut,H3K4me1,MaleB,57,403108,7072.0703
088 BST Tac2 Gaba,H3K9me3,MaleB,57,366850,6435.965
060 OT D3 Folh1 Gaba,H3K27ac,FemaleB,57,220493,3868.2983
268 CS-PRNr-DR En1 Sox2 Gaba,H3K9me3,MaleB,57,200422,3516.1755
118 ADP-MPO Trp73 Glut,H3K9me3,FemaleB,58,219914,3791.6206
136 PMv-TMv Pitx2 Glut,H3K9me3,MaleB,58,388360,6695.8623
077 CEA-BST Gal Avp Gaba,H3K27me3,FemaleA,58,114284,1970.4138
075 MEA-BST Lhx6 Nr2e1 Gaba,H3K27ac,MaleA,58,180057,3104.4312
077 CEA-BST Gal Avp Gaba,H3K9me3,FemaleA,58,200476,3456.4827
029 L6b CTX Glut,H3K9me3,FemaleA,58,198301,3418.9827
196 PAG-PPN Pax5 Sox21 Gaba,H3K4me1,FemaleA,58,237720,4098.6206
066 NDB-SI-ant Prdm12 Gaba,H3K9me3,MaleA,59,500473,8482.593
020 L2/3 IT RSP Glut,H3K9me3,FemaleA,59,184440,3126.1018
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K27ac,MaleA,59,134093,2272.7627
029 L6b CTX Glut,H3K27ac,MaleA,59,141759,2402.6948
127 DMH-LHA Vgll2 Glut,H3K9me3,MaleA,60,570585,9509.75
065 IA Mgp Gaba,H3K9me3,MaleB,60,361696,6028.2666
128 VMH Fezf1 Glut,H3K27me3,FemaleB,60,141061,2351.0166
103 PVHd-DMH Lhx6 Gaba,H3K9me3,MaleA,60,566708,9445.134
066 NDB-SI-ant Prdm12 Gaba,H3K27ac,FemaleA,61,193763,3176.4426
166 MRN Pou3f1 C1ql4 Glut,H3K9me3,FemaleB,61,465633,7633.3276
041 OB-in Frmd7 Gaba,H3K27me3,FemaleA,61,180699,2962.2788
027 L6b EPd Glut,H3K27ac,FemaleA,61,120175,1970.0819
103 PVHd-DMH Lhx6 Gaba,H3K27ac,MaleB,61,157386,2580.0984
131 LHA-AHN-PVH Otp Trh Glut,H3K27ac,FemaleB,61,168994,2770.3936
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K9me3,MaleA,61,457843,7505.623
136 PMv-TMv Pitx2 Glut,H3K4me1,FemaleA,61,149582,2452.1638
099 SBPV-PVa Six6 Satb2 Gaba,H3K27ac,MaleB,61,142326,2333.2131
124 MPN-MPO-PVpo Hmx2 Glut,H3K27me3,MaleA,62,271548,4379.8066
096 PVHd Gsc Gaba,H3K27ac,MaleA,62,132187,2132.0483
094 SCH Six6 Cdc14a Gaba,H3K27ac,FemaleB,62,134159,2163.8547
077 CEA-BST Gal Avp Gaba,H3K27me3,MaleA,62,372473,6007.629
127 DMH-LHA Vgll2 Glut,H3K27ac,MaleB,62,155241,2503.8872
079 CEA-BST Six3 Cyp26b1 Gaba,H3K27ac,FemaleB,62,210021,3387.4355
034 NP PPP Glut,H3K27me3,MaleB,62,185012,2984.0645
077 CEA-BST Gal Avp Gaba,H3K27me3,MaleB,62,269216,4342.1934
103 PVHd-DMH Lhx6 Gaba,H3K9me3,FemaleA,62,199512,3217.9355
130 LHA Pmch Glut,H3K27ac,MaleA,62,152479,2459.3386
118 ADP-MPO Trp73 Glut,H3K27me3,MaleB,63,280972,4459.873
075 MEA-BST Lhx6 Nr2e1 Gaba,H3K4me1,MaleA,63,446535,7087.857
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K4me1,MaleB,63,392111,6223.984
123 DMH Nkx2-4 Glut,H3K4me1,MaleA,63,256766,4075.651
151 TH Prkcd Grin2c Glut,H3K27ac,MaleA,63,142309,2258.873
124 MPN-MPO-PVpo Hmx2 Glut,H3K27ac,MaleA,64,126204,1971.9375
122 LHA-MEA Otp Glut,H3K27me3,FemaleA,64,131094,2048.3438
034 NP PPP Glut,H3K9me3,FemaleB,64,489619,7650.297
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K4me1,MaleB,64,341916,5342.4375
